ego.1	Soc
ego.2	Str
ego.3	Int
ego.4	Dex
ego.5	Will
ego.6	Luck
ego.7	<button title='Continue' keyword='@hellene' />
ego.8	<selectitem title='Give Item' caption='Decide On An Item To Give To Your Spirit'
ego.9	Dragon's Eye
ego.10	Dragon's Claw
ego.11	Dragon's Tail
ego.12	Dragon's Scale
ego.13	Dragon's Tooth
ego.14	Dragon's Blood
ego.15	<button title='Give' keyword='@feed'/><button title='Do not Give' keyword='@nofeed' />
ego.16	;
ego.17	;
ego.18	;
ego.19	;
ego.20	;
ego.21	;
ego.22	The {1} level of {0} is now {2}.
ego.23	The {1} experience value of {0} rose by {2}.
ego.24	I handed the item to the spirit weapon, but the weapon failed to level up. Please take a screenshot and submit to the bulletin board to report error.
ego.25	I handed the item to the spirit weapon, but the item had no effect. Please take a screenshot and submit to the bulletin board to report error.
ego.26	<button title='Continue' keyword='@hellene' />
ego.27	<selectitem title='Give Item' caption='Decide on An Item To Give To Your Spirit' stringid='{0}'/>
ego.28	<button title='Repair' keyword='@repair' /><button title='Cancel' keyword='@hellene' />
ego.29	The Durability of {0} has recovered {1}.
ego.30	The Durability of {0} has recovered {1}. The maximum Durability of\n {0} has been decreased by {2}.
ego.31	Failed to repair {0}.
ego.32	I failed to repair the destroyed item. Please take a screenshot and submit to the bulletin board to report error.
ego.33	I repaired a spirit weapon without a spirit liqueur. Please take a screenshot and submit to the bulletin board to report error.
ego.34	<face name='good'/><title name='NONE'/>({0} is happy)
ego.35	<face name='normal'/><title name='NONE'/>({0} is  fine)
ego.36	<face name='bad1'/><title name='NONE'/>({0} is unhappy)
ego.37	<face name='bad2'/><title name='NONE'/>({0} is angry)<br/>(When a spirit is angry, its performance also drops.<br/>Give it an item to increase its mood.)
ego.38	<face name='wrath'/><title name='NONE'/>({0} is very angry.)<br/>(When a spirit is very angry, its performance also drops. Give it an item to increase its mood.)
ego.39	Health was fully recovered.
ego.40	Injury was fully recovered.
ego.41	Stamina was fully recovered.
ego.42	Mana has fully recovered.
ego.43	Hunger has subsided.
ego.44	An item has been blessed.
ego.45	All equipment has been blessed.
ego.46	Here... this is a cemetery. \n...this place is scary...\n Even though I'm a spirit, not all spirits are good!
ego.47	Here is the southern plains of Tir Chonaill! \n Here the wolves are pretty scary \n But! as you get stronger they will be less scary!
ego.48	Here is Tir Chonaill's Pasture! \n Sheep come to graze here safely...!
ego.49	Here is where Dilys stays at the Healer's House, and outside there are brown foxes. \n You will also find Trefor guarding the town!
ego.50	Here is the farmland! \n You can grow various crops here.
ego.51	This is the center of Tir Chonaill! \n It is small, \n but there is a bank and shops here.
ego.52	Here is an area east of Tir Chonaill! \n There are also wolves here. \n But, you will be okay master! \n One day you will be very strong!
ego.53	Here is the blacksmith! \n Ferghus is a little strange, but \n He is a very good person!
ego.54	Here is the healer Dilys! \n You can receive treatment and buy potions from her
ego.55	Here is Tir Chonaill bank! \n Just talk to Bebhinn when you want to deposit gold or items.
