actionlog.1	{0} reason: {1}
airballoonmgr.1	Unable to create hot-air balloon.
airballoonmgr.2	Unable to create hot-air balloon.
airballoonmgr.3	You cannot set up a hot-air balloon here.
anniversaryschedulemgr.1	기념일 스케쥴러에 임의의 스케쥴을 추가합니다.\n추가된 스케쥴은 삭제할 수 없습니다.
anniversaryschedulemgr.2	addanniversaryschedule(시간, 스크립트명)\n예) addanniversaryschedule(200908081800, data/script/event/anniversary.mint::OnGiveItem1_3rdEventSummer2009Korea)
anthell.1	If I stay here, I'll definitely fall in.
banquetcouponmgr.1	Banquet Helper: Ladies and gentlemen, you have my sincere thanks for participating in\n the Royal Castle Banquet.
banquetcouponmgr.2	Banquet Helper: For attending the banquet, we've prepared a small gift for a lucky person.
banquetcouponmgr.3	Banquet Helper: The winning number is...
banquetcouponmgr.4	Banquet Helper: Who's the winner?
banquetcouponmgr.5	Banquet Helper: The winning number is...{0}! Please confirm your number!
banquetcouponmgr.6	Banquet Helper: So, who's the lucky winner? There you are!
banquetcouponmgr.7	Banquet Helper: {0}, congratulations!
banquetcouponmgr.8	Banquet Helper: I wish you a wonderful time, see you next year!
banquetcouponmgr.9	Banquet Helper: How unfortunate. The winner seems to not be present.
banquetcouponmgr.10	Banquet Helper: I wish you a wonderful time, see you next year!
banquetcouponmgr.11	{0} attended the Royal Castle Banquet {1}.
banquetmgr.1	You are not participating in the Tara Royal Castle Banquet.
banquetmgr.2	Food catering failed.
banquetmgr.3	This food is too low quality to share with others.
banquetmgr.4	You can only provide food.
banquetmgr.5	Royal Castle Banquet is in progress.
banquetmgr.6	Confirming reservation list.
banquetmgr.7	You have a reservation.\nUsing this will cancel the reservation.
banquetmgr.8	schedule_banquet()\n   Banquet.xml에 定義された時間どおりに遂行する。\n\nまたは\n\nschedule_banquet([delay_time], running_time, prepare_time, finish_time)\n   delay_time後に開始し、省略すると直ちに開始する。\n   prepare_timeが過ぎた後に running_timeだけ実行され finish_timeは running_timeより小さくなければならない。\n   時間の単位は秒で、すべての時間は0より大きくなければならない。\n\nまたは\n\nschedule_banquet(start_time, day_of_week, running_time, prepare_time, finish_time)\n   Banquet.xmlに定義する形式どおりに設定しパーティーを開始する。
banquetmgr.9	Royal Castle Banquet's schedule is confirmed.
banquetmgr.10	You are slowly earning experience from Tara Royal Castle Banquet.
banquetmgr.11	Reloading Banquet.xml.\nYou must create a new party for the changes to apply.
banquetmgr.12	{0}/{1}/{2} {3}:{4}:{5}
banquetmgr.13	Not valid.
banquetmgr.14	Current Status : {0}\nReservation Status : {1}\nAppointment Time : {2}
banquetmgr.15	すでに実行中か、予約されたスケジュールがあります。\n新たに予約するには cancel_banquet() 命令でキャンセルしたあと再度実行してください。
banquetmgr.16	It didn't work as planned.
banquetmgr.17	Appointment failed.
banquetmgr.18	Tara Royal Castle Banquet has ended.
banquetmgr.19	Tara Royal Castle Banquet is not in progress. Reservation is canceled.
banquetmgr.20	You will gain Tara Royal Castle Banquet experience in {0} seconds.
banquetmgr.21	It didn't work as planned.
banquetmgr.22	Banquet.xml loaded successfully.
banquetmgr.23	Banquet.xml loading failed.
banquetprepareregionhandler.1	Tara Royal Castle Banquet is about to begin in the Rath Royal Castle Great Hall.
banquetregionhandler.1	Tara Royal Castle Banquet is in progress.
banquetregionhandler.2	Tara Royal Castle Banquet has ended.
capturetheflagregionhandler.1	海辺へ行こうイベント中にイベント地域を出ました。
capturetheflagregionhandler.2	{0} イベント途中にイベント地域を出ました。
capturetheflagteam.1	Red Team
capturetheflagteam.2	Blue Team
capturetheflagteam.3	海辺へ行こうイベントに {0}として参加しました。
capturetheflagteam.4	Exiting Capture the Flag event.
capturetheflagteam.5	Capturing was canceled!
capturetheflagteam.6	Get the flag and bring it safely across.
capturetheflagteam.7	{0} イベントに {1}で参加しました。
capturetheflagteam.8	Exiting {0} event。
capturetheflagteam.9	Accidentally dropped the watermelon!
capturetheflagteam.10	Cannot take watermelon while you are frozen.
capturetheflagteam.11	Got the watermelon. Take it to the umbrella on the other side.
cdaycontrol.1	PVP penalty reduced.
cdaycontrol.2	Pets are blessed with the power of Palala.
cdaycontrol.3	Pets are blessed with the power of Palala.
cdaycontrol.4	Pets are blessed with the power of Eweca.
cdaycontrol.5	Pets are blessed with the power of Eweca.
cdaycontrol.6	Pets are blessed with the power of Palala.
cdaycontrol.7	Pets are blessed with the power of Eweca.
combatmanager.1	You have {0} ammunition left.|
combatmanager.2	You are running out of ammunition.|
combatmanager.3	You have {0} ammunition left.|
combatmanager.4	You cannot attack with this skill. Try using other skills!
combatmanager.5	You cannot attack with this weapon. Try using another weapon! 
combatmanager.6	You have {0} ballista ammunition remaining.|
combatmanager.7	You are running out of ballista ammunition.|
combatmanager.8	You have {0} ballista ammunition remaining.|
combatmanager.9	You have {0} ballista ammunition remaining.|
combatmanager.10	You are running out of ballista ammunition.|
combatmanager.11	You have {0} ballista ammunition remaining.
combatmanager.12	Continuing to attack is a waste of energy.
combatmanager.13	You need to attack the others.
combatmanager.14	Attacking is totally unreasonable.
combatpromotiontest.1	Current score: {0}
combatpromotiontest.2	Lost {0} points.
combatpromotiontest.3	現在の点数: {0}
commonapi.1	近くに他の氷の穴があるので、氷の穴を掘ることができなそうだ
commonapi.2	{0}が涼しげに水を撒いてくれた。
commonapi.3	{0}が涼しげに水を撒いてくれた。
commonapi.4	ゾウが撒いてくれた水が乾いたようだ。
component_achievement.1	業績を追加する。
component_achievement.2	addachievement(業績id)
component_achievement.3	業績を除去する。
component_achievement.4	removeachievement(業績id)
component_action.1	{0} 様は召喚要請できない状態です。
component_action.2	{0} 様は召喚要請を受けられない状態です。
component_action.3	{0} 様は召喚要請できない地域にいます。
component_action.4	{0} 様は召喚要請を受けられない地域にいます。
component_action.5	{0} 様は召喚できない対象です。
component_action.6	Race not supported. Summoning canceled.
component_action.7	{0} 様が乗り物に乗っているため召喚できません。
component_action.8	Unable to summon.
component_action.9	Unable to summon.
component_action.10	You must wait 3 minutes.
component_action.11	閉じ込められないようだ。
component_action.12	泡を発射しても閉じ込められなそうだ。
component_action.13	{0}に泡を発射しても閉じ込められなそうだ。
component_action.14	Summoned players cannot participate.
component_action.15	Cannot summon participating player.
component_action.16	Cannot summon when participating.
component_action.17	Cannot summon participating player.
component_actionmove.1	相手が近すぎて突進に失敗しました。
component_actionmove.2	相手が突進可能な距離から外れました。
component_actionmsg.1	{0}様の召喚要請を受けることが出来ません。
component_advertise.1	ハウスインベントリの金額が足りません。
component_advertise.2	広告チラシは最大1000枚まで発行できます。
component_advertise.3	すでに同じ広告チラシを持っています。
component_advertise.4	広告チラシがなくなりました。
component_advertise.5	インベントリに空きがありません。
component_advertise.6	今は使用できません。
component_antimacrocaptcha.1	対象ユーザーがマクロチェックに失敗しました。
component_antimacrocaptcha.2	マクロユーザーと判断されたため、{0} 分間動けません。
component_antimacrocaptcha.3	正解です。
component_antimacrocaptcha.4	不正解でした。残り {0} 回です。
component_antimacrocaptcha.5	これまで間違えた回数は {0} 回です。
component_antimacrocaptcha.6	これまで間違えた回数は {0} 回です。
component_antimacrocaptcha.7	今までの成功回数は {0} 回です。
component_appearance.1	The potion poisoning seems to be getting better.|Recovered from potion poisoning.|Starting to feel better from potion poisoning.
component_appearance.2	Pet seems to be full.
