boss.dunbarton_rabbie.1 General rabbie boss script
boss.dunbarton_rabbie.2
boss.dunbarton_rabbie_succubus.1	Succubus boss script
boss.emain_runda_dungeon_g2_paladin_rp.1
boss.longadesert_begin.1	At the moment the elemental crystal broke, I could feel the flow of the elemental with my whole body.
boss.tircho_ciar_g13_easy_dungeon.1	(I picked up Fergus' hammer from where the golem fell.)
boss.tircho_ciar_g13_high_dungeon.1	(I picked up Fergus' hammer from where the golem fell.)
boss.tircho_ciar_g13_mid_dungeon.1	(I picked up Fergus' hammer from where the golem fell.)
boss.tirchonaill_alby_g13_firstfolio.1	(I defeated the spider and found a writer's notebook.\nI'll give it a read.)
boss.tirchonaill_alby_g13_firstfolio_high.1	(I defeated the spider and found a writer's notebook.\nLet's read it.)
boss.tirchonaill_alby_g13_firstfolio_mid.1	(I defeated the spider and found a writer's notebook.\nLet's read it.)
boss.tirchonaill_alby_tutorial_malcolm.1	I defeated a young giant golden spider and found Malcolm's ring.
boss.tirchonaill_ciar_japan_event_1.1	I can't open the gate.
boss.tirchonaill_ciar_japan_event_1.2	I can't open the gate.
boss.tirchonaill_ciar_japan_event_2.1	I can't open the gate.
boss.tirchonaill_ciar_japan_event_2.2	I can't open the gate.
element.collectprop_herb.1	herb1
element.collectprop_herb.2	herb2
element.collectprop_herb.3	herb3
element.collectprop_herb_low.1	herb1
element.collectprop_herb_low.2	herb2
element.collectprop_herb_low.3	herb3
element.collectprop_herb_middle.1	herb1
element.collectprop_herb_middle.2	herb2
element.collectprop_herb_middle.3	herb3
element.eventprop_fountain.1	EventProp_Fountain.mint
element.jg_nekojima_downto2ndfloor.1	It looks like you went a bit further down.
element.jg_nekojima_downto2ndfloor.2	You descended further.
element.jg_nekojima_downto3rdfloor.1	You've gone down even further and are almost at the end.
element.jg_nekojima_downto3rdfloor.2	You've gone down further and are almost at the end. However, the path seems to have changed...
element.jg_nekojima_downto4thfloor.1	You've descended as far as you can go and reached the end. Why not check out that path?
element.jg_nekojima_puzzleroom.1	One giant vengeful knight...since it's such an easy spawn, you must be far from the center.
element.jg_nekojima_puzzleroom.2	Is it worth fighting these things? You seem to be a bit far from the center...
element.jg_nekojima_puzzleroom.3	That's a lot of strong enemies. You must be close to the center.
element.jg_nekojima_puzzleroom.4	Four giant vengeful knights?! Oof...this looks bad, but on the bright side it looks like you're close to the center.
element.jg_nekojima_puzzleroom.5	The patterns on the wooden pillar are glowing. Deal with the monsters then hit the pillar once again.
element.jg_nekojima_puzzleroom_chest.1	One giant vengeful knight...since it's such an easy spawn, you must be far from the center.
element.jg_nekojima_puzzleroom_chest.2	Is it worth fighting these things? You seem to be a bit far from the center...
element.jg_nekojima_puzzleroom_chest.3	That's a lot of strong enemies. You must be close to the center.
element.jg_nekojima_puzzleroom_chest.4	Four giant vengeful knights?! Oof...this looks bad, but on the bright side it looks like you're close to the center.
element.jg_nekojima_puzzleroom_chest_new.1	One giant vengeful knight...since it's such an easy spawn, you must be far from the center.
element.jg_nekojima_puzzleroom_chest_new.2	Is it worth fighting these things? You seem to be a bit far from the center...
